tid,sid,latitude,longitude,time,direction_inference,speed_inference_m_s,label
1,2,0.932,-34.698,2004-04-18 10:11:00,3.72,2.19,FISHING
1,2,1.009,-34.693000000000005,2004-04-18 11:00:00,12.37,2.92,FISHING
1,2,1.101,-34.707,2004-04-18 11:49:00,1.65,3.52,FISHING
1,2,1.112,-34.709,2004-04-18 12:00:00,6.49,1.88,FISHING
1,2,1.165,-34.725,2004-04-18 12:41:00,5.82,2.5,FISHING
1,2,1.189,-34.735,2004-04-18 13:00:00,4.21,2.54,FISHING
1,2,1.274,-34.778,2004-04-18 14:00:00,69.75,2.94,FISHING
1,2,1.271,-34.804,2004-04-18 14:19:00,28.55,2.55,FISHING
1,2,1.233,-34.858000000000004,2004-04-18 15:00:00,86.63,2.98,FISHING
1,2,1.212,-34.845,2004-04-18 15:10:00,0.33,4.58,FISHING
1,3,1.104,-34.779,2004-04-18 16:00:00,17.39,4.69,NOT_FISHING
1,3,1.064,-34.769,2004-04-18 16:16:00,2.63,4.78,NOT_FISHING
1,3,0.955,-34.747,2004-04-18 17:00:00,22.62,4.68,NOT_FISHING
1,4,0.8440000000000001,-34.769,2004-04-18 17:50:00,6.26,4.19,FISHING
1,4,0.682,-34.82,2004-04-18 19:00:00,2.73,4.5,FISHING
1,4,0.625,-34.835,2004-04-18 19:23:00,0.95,4.75,FISHING
1,4,0.536,-34.86,2004-04-18 20:00:00,1.65,4.63,FISHING
1,4,0.444,-34.883,2004-04-18 20:39:00,1.31,4.51,FISHING
1,4,0.393,-34.897,2004-04-18 21:00:00,3.66,4.67,FISHING
1,4,0.364,-34.903,2004-04-18 21:12:00,44.62,4.57,FISHING
1,4,0.318,-34.972,2004-04-18 22:00:00,76.27,3.2,FISHING
1,4,0.35200000000000004,-35.009,2004-04-18 22:22:00,6.54,4.23,FISHING
1,4,0.419,-35.067,2004-04-18 23:00:00,71.85,4.32,FISHING
1,4,0.459,-35.043,2004-04-18 23:37:00,22.65,2.34,FISHING
1,4,0.487,-35.005,2004-04-19 00:00:00,0.32,3.8,FISHING
1,4,0.528,-34.95,2004-04-19 00:33:00,0.99,3.85,FISHING
1,4,0.562,-34.906,2004-04-19 01:00:00,0.82,3.82,FISHING
1,4,0.58,-34.882,2004-04-19 01:16:00,0.13,3.47,FISHING
1,4,0.635,-34.809,2004-04-19 02:00:00,0.13,3.85,FISHING
1,4,0.65,-34.789,2004-04-19 02:13:00,3.04,3.56,FISHING
1,4,0.715,-34.692,2004-04-19 03:09:00,20.19,3.86,FISHING
1,4,0.7879999999999999,-34.639,2004-04-19 04:00:00,97.38,3.28,FISHING
1,4,0.7709999999999999,-34.621,2004-04-19 04:48:00,43.36,0.96,FISHING
1,4,0.7709999999999999,-34.62,2004-04-19 05:00:00,33.69,0.15,FISHING
1,4,0.7809999999999999,-34.605,2004-04-19 05:49:00,78.69,0.68,FISHING
1,4,0.78,-34.604,2004-04-19 06:00:00,12.26,0.24,FISHING
1,4,0.7709999999999999,-34.59,2004-04-19 07:00:00,35.23,0.51,FISHING
1,4,0.7290000000000001,-34.573,2004-04-19 08:01:00,34.17,1.38,FISHING
1,4,0.622,-34.596,2004-04-19 09:00:00,0.86,3.44,FISHING
1,4,0.596,-34.602,2004-04-19 09:25:00,10.2,1.98,FISHING
1,4,0.555,-34.604,2004-04-19 09:48:00,8.52,3.31,FISHING
1,4,0.545,-34.606,2004-04-19 10:00:00,10.89,1.57,FISHING
1,4,0.447,-34.646,2004-04-19 11:03:00,18.76,3.11,FISHING
1,4,0.364,-34.651,2004-04-19 12:00:00,17.41,2.7,FISHING
1,4,0.343,-34.659,2004-04-19 12:14:00,5.84,2.97,FISHING
1,4,0.261,-34.681,2004-04-19 13:00:00,103.96,3.42,FISHING
1,4,0.297,-34.746,2004-04-19 13:52:00,30.76,2.65,FISHING
1,4,0.369,-34.788000000000004,2004-04-19 15:00:00,131.82,2.27,FISHING
1,4,0.36,-34.744,2004-04-19 16:00:00,0.72,1.39,FISHING
1,5,0.333,-34.603,2004-04-19 17:00:00,52.19,4.43,NOT_FISHING
1,5,0.399,-34.528,2004-04-19 17:42:00,47.14,4.41,NOT_FISHING
1,6,0.4370000000000001,-34.527,2004-04-19 18:00:00,40.17,3.91,FISHING
1,6,0.4920000000000001,-34.571,2004-04-19 18:29:00,71.9,4.5,FISHING
1,6,0.471,-34.626999999999995,2004-04-19 19:00:00,24.34,3.58,FISHING
1,6,0.479,-34.748000000000005,2004-04-19 20:03:00,24.69,3.57,FISHING
